-,Сумма,Территориальная избирательная комиссия №1,Территориальная избирательная комиссия №2,Территориальная избирательная комиссия №3,Территориальная избирательная комиссия №4,Территориальная избирательная комиссия №5,Территориальная избирательная комиссия №6,Территориальная избирательная комиссия №7,Территориальная избирательная комиссия №8,Территориальная избирательная комиссия №9,Территориальная избирательная комиссия №10,Территориальная избирательная комиссия №11,Территориальная избирательная комиссия №12,Территориальная избирательная комиссия №13,Территориальная избирательная комиссия №14,Территориальная избирательная комиссия №15,Территориальная избирательная комиссия №16,Территориальная избирательная комиссия №17,Территориальная избирательная комиссия №18,Территориальная избирательная комиссия №19,Территориальная избирательная комиссия №20,Территориальная избирательная комиссия №21,Территориальная избирательная комиссия №22,Территориальная избирательная комиссия №23,Территориальная избирательная комиссия №24,Территориальная избирательная комиссия №25,Территориальная избирательная комиссия №26,Территориальная избирательная комиссия №27,Территориальная избирательная комиссия №28,Территориальная избирательная комиссия №29,Территориальная избирательная комиссия №30,Цифровые избирательные участки
"Число избирателей, внесенных в список избирателей на момент окончания голосования",3814877,105510,147015,101715,122638,255414,173058,147651,84723,106551,93291,212151,132975,47955,127049,35191,79024,146526,94434,143014,153988,142586,137381,136998,126000,138569,127787,89318,175819,162685,67326,535
"Число избирательных бюллетеней, полученных участковой избирательной комиссией",3230784,83250,134200,89950,95400,238300,150600,119741,65630,90400,80300,176435,113500,40450,112000,27750,65200,124050,67559,123947,127072,126350,118500,118943,99450,105200,112255,72800,147450,147500,56200,402
"Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования",1103056,31626,44897,26315,35273,66733,42586,42452,29626,34896,27411,55603,34694,17519,34073,13329,21410,40926,47349,51433,50143,40477,42458,34606,32796,38572,32123,21522,46640,44832,20334,402
"Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",43989,1592,1836,762,2048,1600,693,742,909,822,1059,1417,425,1506,894,752,868,746,1314,2644,1875,1070,2172,4019,788,1642,1440,622,1226,5227,1279,0
Число погашенных избирательных бюллетеней,2083724,50032,87467,62873,58079,169967,107321,76547,35095,54675,51830,119415,78381,21424,77038,13669,42922,82378,18896,69869,75054,84803,73865,80314,65866,64986,78692,50656,99582,97441,34587,0
"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования",43883,1590,1831,762,2040,1598,691,728,909,811,1057,1415,425,1506,894,752,868,746,1314,2644,1875,1043,2172,4012,787,1636,1440,622,1226,5212,1277,0
"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",1096726,31437,44713,26169,35159,66561,42536,41990,29596,34632,27375,55280,34521,17506,33849,13327,21337,40590,46600,51223,50033,40425,42302,33566,32645,38353,32077,21492,46513,44275,20244,400
Число недействительных избирательных бюллетеней,30795,1220,1355,845,1064,1796,1094,1079,1110,778,681,1503,892,556,971,394,769,1146,1076,579,1558,947,1214,1290,789,1032,985,688,1006,1693,682,3
Число действительных избирательных бюллетеней,1109814,31807,45189,26086,36135,66363,42133,41639,29395,34665,27751,55192,34054,18456,33772,13685,21436,40190,46838,53288,50350,40521,43260,36288,32643,38957,32532,21426,46733,47794,20839,397
Число утраченных избирательных бюллетеней,30,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,1,0,1,0,0,10,4,0,0,0,0,2,0,0,0
"Число избирательных бюллетеней, не учтенных при получении",15,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Амосов Михаил Иванович,182797 16.03%,6206 18.79%,10177 21.87%,4480 16.64%,6139 16.50%,9031 13.25%,7395 17.11%,6380 14.94%,4156 13.62%,5501 15.52%,4104 14.43%,10958 19.33%,6729 19.26%,2597 13.66%,6192 17.82%,1718 12.20%,5482 24.69%,8109 19.62%,5753 12.01%,8379 15.55%,7061 13.60%,4300 10.37%,8526 19.17%,5463 14.54%,4252 12.72%,5608 14.02%,4978 14.85%,4111 18.59%,7750 16.23%,6424 12.98%,4644 21.58%,194 48.50%
Беглов Александр Дмитриевич,734903 64.43%,19818 60.01%,26213 56.32%,17177 63.78%,22156 59.56%,46362 68.02%,26233 60.69%,28405 66.49%,20635 67.64%,24219 68.33%,19296 67.87%,34772 61.33%,20607 58.97%,13274 69.82%,20145 57.98%,9780 69.47%,11861 53.42%,24382 58.98%,36632 76.45%,37091 68.86%,33241 64.04%,30393 73.29%,27667 62.21%,24976 66.46%,23750 71.04%,25665 64.18%,21077 62.88%,13463 60.88%,30515 63.92%,32701 66.08%,12315 57.22%,82 20.50%
Тихонова Надежда Геннадьевна,192114 16.84%,5783 17.51%,8799 18.90%,4429 16.45%,7840 21.08%,10970 16.09%,8505 19.68%,6854 16.04%,4604 15.09%,4945 13.95%,4351 15.30%,9462 16.69%,6718 19.22%,2585 13.60%,7435 21.40%,2187 15.53%,4093 18.43%,7699 18.63%,4453 9.29%,7818 14.51%,10048 19.36%,5828 14.05%,7067 15.89%,5849 15.56%,4641 13.88%,7684 19.22%,6477 19.32%,3852 17.42%,8468 17.74%,8669 17.52%,3880 18.03%,121 30.25%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
